sampleID	Metadata	Level	Rank_code	Rank_I	Rank_II	Rank_III	Rank_IV	Rank_V	ARGs_unranked	Total_abu
db0001	None	Level 3	0.1-0.0-0.0-1.3-1.6-0.6	1.3E-03	0.0E+00	0.0E+00	5.1E-01	2.5E-01	2.4E-01	3.5E+02
ba0002	None	Level 2	1.1-0.0-0.0-1.0-2.7-0.5	1.4E-02	0.0E+00	0.0E+00	3.8E-01	4.2E-01	1.8E-01	5.5E+02
bl0009	None	Level 3	0.5-0.1-0.0-1.7-1.9-0.2	5.9E-03	2.1E-03	0.0E+00	6.4E-01	2.9E-01	6.2E-02	3.0E+02
bs0008	None	Level 3	0.0-0.0-0.0-1.2-1.4-0.9	4.2E-04	0.0E+00	0.0E+00	4.5E-01	2.2E-01	3.3E-01	2.7E+02
aq0015	None	Level 3	0.2-0.0-0.0-1.3-3.1-0.1	3.1E-03	1.7E-03	0.0E+00	4.8E-01	4.7E-01	4.1E-02	3.3E+02
bw0033	None	Level 2	0.7-0.0-0.0-0.7-3.9-0.4	8.9E-03	0.0E+00	1.5E-04	2.5E-01	6.0E-01	1.4E-01	7.1E+02
dc0001	None	Level 2	0.9-0.0-0.0-1.0-2.9-0.4	1.1E-02	1.7E-03	2.6E-04	3.9E-01	4.5E-01	1.5E-01	3.5E+02
by0059	None	Level 1	11.3-0.4-0.0-1.1-2.3-0.2	1.4E-01	1.6E-02	3.4E-04	4.2E-01	3.6E-01	6.0E-02	3.7E+02
ao0001	None	Level 3	0.3-0.4-0.0-1.5-2.5-0.0	3.3E-03	1.5E-02	1.4E-03	5.8E-01	3.9E-01	9.5E-03	3.1E+02
ci0052	None	Level 1	12.9-0.0-0.0-0.6-0.6-1.4	1.6E-01	7.5E-04	0.0E+00	2.4E-01	8.6E-02	5.1E-01	7.8E+02
bn0038	None	Level 2	0.7-0.0-0.0-1.1-3.3-0.2	8.3E-03	1.9E-04	0.0E+00	4.3E-01	5.0E-01	6.2E-02	1.9E+02
bu0080	None	Level 3	0.5-0.1-0.0-0.9-2.9-0.5	6.2E-03	3.3E-03	1.7E-04	3.5E-01	4.4E-01	1.9E-01	1.0E+02
bp0004	None	Level 3	0.1-0.0-0.0-0.9-3.5-0.3	6.9E-04	8.2E-04	6.8E-04	3.6E-01	5.3E-01	1.1E-01	3.9E+01
aw0036	None	Level 3	0.3-0.0-0.1-1.0-2.4-0.7	3.6E-03	0.0E+00	4.1E-03	3.9E-01	3.7E-01	2.4E-01	3.6E+02
ct0001	None	Level 2	0.7-0.2-0.0-1.3-2.5-0.2	8.7E-03	9.4E-03	0.0E+00	5.1E-01	3.8E-01	8.6E-02	3.9E+02
cs0011	None	Level 2	0.8-0.0-0.0-1.7-1.8-0.2	9.6E-03	5.9E-04	0.0E+00	6.4E-01	2.7E-01	7.4E-02	2.1E+02
ck0028	None	Level 3	0.5-0.0-0.0-1.6-2.3-0.1	6.3E-03	6.1E-04	4.7E-04	6.1E-01	3.6E-01	2.3E-02	3.5E+02
ce0007	None	Level 2	0.6-0.0-0.0-1.3-2.8-0.1	7.3E-03	0.0E+00	2.7E-04	5.0E-01	4.4E-01	5.0E-02	1.0E+02
ai0019	None	Level 2	1.3-0.1-0.0-0.7-2.6-0.9	1.6E-02	3.8E-03	0.0E+00	2.6E-01	4.0E-01	3.2E-01	5.1E+02
cb0051	None	Level 3	0.1-0.0-0.0-1.2-2.3-0.6	1.2E-03	1.4E-03	5.1E-05	4.5E-01	3.5E-01	2.0E-01	4.7E+02
